state;action_reward;n_state
22&2|187&3|14&4|276&5|162&2|194&1|435&2|132&1|309&2|1266&2|582&1|100&4;225&1|177&2|274&2|257&3;22&2|187&3|14&4|276&5|162&2|194&1|435&2|132&1|309&2|1266&2|582&1|100&4|225&1|177&2|274&2|257&3
338&1|288&1|289&3|323&5|329&5|312&5|311&4|690&5|332&4|990&5|286&5|259&1;313&5|457&1|894&1|895&2;338&1|288&1|289&3|323&5|329&5|312&5|311&4|690&5|332&4|990&5|286&5|259&1|313&5|457&1|894&1|895&2
272&5|331&5|1025&3|327&4|300&4|304&4|328&5|245&5|313&5|344&4|321&5|259&2;312&4|898&3|751&3|288&2;272&5|331&5|1025&3|327&4|300&4|304&4|328&5|245&5|313&5|344&4|321&5|259&2|312&4|898&3|751&3|288&2
1&5|275&2|147&4|1016&4|471&5|298&4|250&3|815&3|121&2|15&4|50&4|117&5;678&3|1244&3|254&4|323&3;1&5|275&2|147&4|1016&4|471&5|298&4|250&3|815&3|121&2|15&4|50&4|117&5|678&3|1244&3|254&4|323&3
9&5|23&3|285&5|86&5|301&1|461&4|223&5|210&3|880&3|427&5|268&3|275&4;69&3|137&3|527&4|238&3;9&5|23&3|285&5|86&5|301&1|461&4|223&5|210&3|880&3|427&5|268&3|275&4|69&3|137&3|527&4|238&3
7&4|121&4|271&2|257&4|259&3|251&4|151&4|751&3|222&3|70&5|300&2|736&5;111&5|1&4|64&5|28&5;7&4|121&4|271&2|257&4|259&3|251&4|151&4|751&3|222&3|70&5|300&2|736&5|111&5|1&4|64&5|28&5
143&4|234&4|708&4|56&5|747&4|183&4|239&4|473&3|219&2|419&4|140&3|193&5;684&4|566&4|94&2|53&5;143&4|234&4|708&4|56&5|747&4|183&4|239&4|473&3|219&2|419&4|140&3|193&5|684&4|566&4|94&2|53&5
258&5|333&3|288&4|890&4|268&4|305&4|319&4|340&3|338&3|262&4|879&2|327&5;689&2|325&1|307&3|271&3;258&5|333&3|288&4|890&4|268&4|305&4|319&4|340&3|338&3|262&4|879&2|327&5|689&2|325&1|307&3|271&3
1&1|100&4|1009&5|471&1|475&4|222&2|847&5|744&4|328&3|676&2|24&4|929&2;588&2|169&5|294&4|501&1;1&1|100&4|1009&5|471&1|475&4|222&2|847&5|744&4|328&3|676&2|24&4|929&2|588&2|169&5|294&4|501&1
1140&2|421&4|461&4|172&5|70&4|779&2|217&4|550&4|23&5|358&3|86&3|1228&1;1036&2|453&1|748&3|94&2;1140&2|421&4|461&4|172&5|70&4|779&2|217&4|550&4|23&5|358&3|86&3|1228&1|1036&2|453&1|748&3|94&2
229&3|144&3|227&4|649&4|50&2|258&3|203&3|94&3|449&2|1159&3|225&1|270&3;230&5|331&3|485&5|177&5;229&3|144&3|227&4|649&4|50&2|258&3|203&3|94&3|449&2|1159&3|225&1|270&3|230&5|331&3|485&5|177&5
325&2|354&3|678&1|900&1|313&2|294&3|258&3|286&2|358&2|914&2|906&4|289&4;22&4|683&3|187&5|248&4;325&2|354&3|678&1|900&1|313&2|294&3|258&3|286&2|358&2|914&2|906&4|289&4|22&4|683&3|187&5|248&4
190&2|69&5|204&3|89&5|238&4|228&4|496&3|357&5|71&5|418&3|70&5|168&5;663&5|78&1|1012&4|529&5;190&2|69&5|204&3|89&5|238&4|228&4|496&3|357&5|71&5|418&3|70&5|168&5|663&5|78&1|1012&4|529&5
633&4|1169&5|589&4|693&3|28&3|215&3|962&4|144&3|69&2|514&4|371&3|498&5;824&3|378&3|356&3|139&3;633&4|1169&5|589&4|693&3|28&3|215&3|962&4|144&3|69&2|514&4|371&3|498&5|824&3|378&3|356&3|139&3
1028&2|28&4|135&5|293&4|40&3|223&4|423&5|523&4|475&4|89&3|660&4|518&4;736&3|321&2|79&4|47&2;1028&2|28&4|135&5|293&4|40&3|223&4|423&5|523&4|475&4|89&3|660&4|518&4|736&3|321&2|79&4|47&2
204&4|56&3|1&4|825&4|815&3|237&4|210&4|280&5|323&3|294&3|276&3|100&4;255&3|9&3|257&4|181&4;204&4|56&3|1&4|825&4|815&3|237&4|210&4|280&5|323&3|294&3|276&3|100&4|255&3|9&3|257&4|181&4
1135&5|200&4|405&3|173&4|108&4|12&5|97&4|172&4|269&3|475&5|288&3|179&4;271&3|147&4|781&3|959&4;1135&5|200&4|405&3|173&4|108&4|12&5|97&4|172&4|269&3|475&5|288&3|179&4|271&3|147&4|781&3|959&4
685&3|255&3|250&3|591&3|304&4|151&3|125&4|286&3|748&1|248&3|122&1|121&3;181&4|9&4|1009&2|1014&3;685&3|255&3|250&3|591&3|304&4|151&3|125&4|286&3|748&1|248&3|122&1|121&3|181&4|9&4|1009&2|1014&3
319&5|126&5|328&4|258&5|304&5|124&4|740&4|300&5|181&4|329&3|754&4|690&3;9&5|283&4|475&1|13&2;319&5|126&5|328&4|258&5|304&5|124&4|740&4|300&5|181&4|329&3|754&4|690&3|9&5|283&4|475&1|13&2
936&5|455&1|620&4|310&4|864&4|275&4|111&4|471&4|255&5|258&3|322&3|269&5;931&1|823&2|118&1|458&5;936&5|455&1|620&4|310&4|864&4|275&4|111&4|471&4|255&5|258&3|322&3|269&5|931&1|823&2|118&1|458&5
295&3|322&3|134&3|685&4|238&4|423&4|731&4|92&3|471&4|123&4|38&3|99&4;339&3|354&4|51&4|682&3;295&3|322&3|134&3|685&4|238&4|423&4|731&4|92&3|471&4|123&4|38&3|99&4|339&3|354&4|51&4|682&3
323&3|300&5|310&4|748&2|301&1|690&2|294&2|304&4|269&3|333&3|327&2|328&5;243&2|271&1|342&2|678&3;323&3|300&5|310&4|748&2|301&1|690&2|294&2|304&4|269&3|333&3|327&2|328&5|243&2|271&1|342&2|678&3
65&4|288&5|548&2|194&3|454&5|928&4|382&4|423&4|623&3|94&4|240&1|660&4;219&3|1030&3|441&4|238&3;65&4|288&5|548&2|194&3|454&5|928&4|382&4|423&4|623&3|94&4|240&1|660&4|219&3|1030&3|441&4|238&3
315&5|186&4|294&3|300&4|269&2|513&4|435&4|168&4|873&3|894&3|748&4|276&4;98&4|255&3|88&5|100&4;315&5|186&4|294&3|300&4|269&2|513&4|435&4|168&4|873&3|894&3|748&4|276&4|98&4|255&3|88&5|100&4
234&4|56&5|474&5|23&4|98&4|715&2|213&4|705&5|264&1|774&2|300&2|427&5;282&4|1163&2|148&3|60&5;234&4|56&5|474&5|23&4|98&4|715&2|213&4|705&5|264&1|774&2|300&2|427&5|282&4|1163&2|148&3|60&5
98&5|6&5|137&5|474&5|61&4|59&4|318&3|517&5|96&5|23&5|7&4|89&4;121&2|24&2|93&4|769&1;98&5|6&5|137&5|474&5|61&4|59&4|318&3|517&5|96&5|23&5|7&4|89&4|121&2|24&2|93&4|769&1
895&1|1074&3|24&2|682&1|443&4|280&4|1078&4|554&3|755&4|393&4|237&4|56&1;827&2|871&3|869&3|182&4;895&1|1074&3|24&2|682&1|443&4|280&4|1078&4|554&3|755&4|393&4|237&4|56&1|827&2|871&3|869&3|182&4
178&5|384&2|420&3|132&4|720&1|227&4|919&4|172&5|570&1|541&3|82&2|665&4;816&4|840&4|728&1|809&2;178&5|384&2|420&3|132&4|720&1|227&4|919&4|172&5|570&1|541&3|82&2|665&4|816&4|840&4|728&1|809&2
258&5|260&3|272&5|310&4|300&4|302&5|264&3|301&3|294&2|678&1|324&4|748&3;690&4|886&4|433&5|11&5;258&5|260&3|272&5|310&4|300&4|302&5|264&3|301&3|294&2|678&1|324&4|748&3|690&4|886&4|433&5|11&5
472&3|288&1|125&4|121&4|1&5|222&5|866&5|255&1|280&4|291&4|763&2|282&5;252&1|1051&4|744&5|225&5;472&3|288&1|125&4|121&4|1&5|222&5|866&5|255&1|280&4|291&4|763&2|282&5|252&1|1051&4|744&5|225&5
111&4|268&1|682&3|1&3|591&3|121&4|597&4|546&4|756&4|310&4|742&4|926&4;871&3|977&3|820&3|930&3;111&4|268&1|682&3|1&3|591&3|121&4|597&4|546&4|756&4|310&4|742&4|926&4|871&3|977&3|820&3|930&3
778&5|580&2|512&2|216&3|173&1|199&3|58&3|387&3|165&3|48&4|1163&1|673&4;716&1|604&4|487&5|153&3;778&5|580&2|512&2|216&3|173&1|199&3|58&3|387&3|165&3|48&4|1163&1|673&4|716&1|604&4|487&5|153&3
326&3|288&2|300&4|310&2|301&2|749&4|259&1|258&3|346&4|877&2|313&5|292&4;343&2|323&2|748&3|338&2;326&3|288&2|300&4|310&2|301&2|749&4|259&1|258&3|346&4|877&2|313&5|292&4|343&2|323&2|748&3|338&2
117&3|405&1|257&3|678&3|254&2|597&2|50&4|1089&1|7&3|181&4|1016&1|174&4;56&4|79&5|144&5|22&5;117&3|405&1|257&3|678&3|254&2|597&2|50&4|1089&1|7&3|181&4|1016&1|174&4|56&4|79&5|144&5|22&5
346&4|335&2|172&5|919&5|358&3|168&3|751&4|900&4|166&4|948&2|50&5|752&4;196&5|268&5|114&5|271&5;346&4|335&2|172&5|919&5|358&3|168&3|751&4|900&4|166&4|948&2|50&5|752&4|196&5|268&5|114&5|271&5
584&3|614&4|12&4|208&4|768&2|515&4|692&4|183&5|47&2|258&4|193&5|294&4;275&4|15&5|399&4|1041&3;584&3|614&4|12&4|208&4|768&2|515&4|692&4|183&5|47&2|258&4|193&5|294&4|275&4|15&5|399&4|1041&3
362&1|328&5|329&2|288&4|301&4|876&2|339&3|355&4|900&3|1243&4|908&1|748&3;306&5|1296&3|1434&2|1679&3;362&1|328&5|329&2|288&4|301&4|876&2|339&3|355&4|900&3|1243&4|908&1|748&3|306&5|1296&3|1434&2|1679&3
271&5|346&3|750&4|272&5|306&4|258&5|539&1|902&3|313&3|751&3|308&4|315&4;245&3|355&2|343&2|243&3;271&5|346&3|750&4|272&5|306&4|258&5|539&1|902&3|313&3|751&3|308&4|315&4|245&3|355&2|343&2|243&3
1012&4|11&5|656&5|756&3|220&1|25&2|111&3|486&5|223&4|1009&1|165&3|150&3;191&5|716&2|574&1|192&4;1012&4|11&5|656&5|756&3|220&1|25&2|111&3|486&5|223&4|1009&1|165&3|150&3|191&5|716&2|574&1|192&4
144&4|398&1|234&3|362&3|92&5|231&3|172&5|33&4|300&2|573&3|670&3|854&4;333&3|520&3|210&3|355&3;144&4|398&1|234&3|362&3|92&5|231&3|172&5|33&4|300&2|573&3|670&3|854&4|333&3|520&3|210&3|355&3
547&3|348&1|300&3|14&4|325&1|304&2|898&5|892&3|258&5|321&4|988&2|328&3;24&1|475&5|20&3|116&5;547&3|348&1|300&3|14&4|325&1|304&2|898&5|892&3|258&5|321&4|988&2|328&3|24&1|475&5|20&3|116&5
124&4|10&2|255&4|111&4|116&3|1284&3|696&4|234&4|19&4|7&4|126&4|257&4;1101&4|96&5|710&2|510&5;124&4|10&2|255&4|111&4|116&3|1284&3|696&4|234&4|19&4|7&4|126&4|257&4|1101&4|96&5|710&2|510&5
539&3|269&4|902&5|327&4|306&5|100&5|258&1|313&2|286&2|354&2|70&4|315&4;316&5|50&5|127&4|259&5;539&3|269&4|902&5|327&4|306&5|100&5|258&1|313&2|286&2|354&2|70&4|315&4|316&5|50&5|127&4|259&5
299&4|319&3|307&5|333&3|286&4|289&1|340&4|302&5|315&5|300&4|313&4|322&3;245&3|748&3|678&2|1025&1;299&4|319&3|307&5|333&3|286&4|289&1|340&4|302&5|315&5|300&4|313&4|322&3|245&3|748&3|678&2|1025&1
751&4|292&4|880&3|258&4|339&3|678&4|895&3|260&4|288&4|872&3|300&4|307&3;329&4|343&4|348&4|323&4;751&4|292&4|880&3|258&4|339&3|678&4|895&3|260&4|288&4|872&3|300&4|307&3|329&4|343&4|348&4|323&4
559&3|544&3|616&3|506&4|582&5|568&2|232&2|175&3|98&3|985&3|1020&4|432&4;793&3|226&2|581&3|1220&3;559&3|544&3|616&3|506&4|582&5|568&2|232&2|175&3|98&3|985&3|1020&4|432&4|793&3|226&2|581&3|1220&3
300&3|292&5|259&2|1296&5|286&3|748&1|874&3|340&5|242&5|258&2|316&4|880&2;9&5|146&3|1281&2|1194&4;300&3|292&5|259&2|1296&5|286&3|748&1|874&3|340&5|242&5|258&2|316&4|880&2|9&5|146&3|1281&2|1194&4
483&5|117&4|527&4|8&5|15&5|33&5|97&5|1041&5|781&5|278&4|21&3|143&5;66&5|845&3|272&5|88&5;483&5|117&4|527&4|8&5|15&5|33&5|97&5|1041&5|781&5|278&4|21&3|143&5|66&5|845&3|272&5|88&5
1251&5|98&5|1142&5|282&4|191&5|688&1|304&3|22&4|117&3|228&4|293&5|1160&4;482&5|179&4|659&5|114&5;1251&5|98&5|1142&5|282&4|191&5|688&1|304&3|22&4|117&3|228&4|293&5|1160&4|482&5|179&4|659&5|114&5
447&4|946&4|475&3|815&2|50&3|222&3|423&5|259&4|118&4|258&4|288&4|58&5;880&3|787&3|312&2|596&3;447&4|946&4|475&3|815&2|50&3|222&3|423&5|259&4|118&4|258&4|288&4|58&5|880&3|787&3|312&2|596&3
1126&5|641&4|23&3|97&5|692&4|195&4|423&5|393&3|48&4|671&3|482&5|1221&3;50&5|1203&4|216&4|72&4;1126&5|641&4|23&3|97&5|692&4|195&4|423&5|393&3|48&4|671&3|482&5|1221&3|50&5|1203&4|216&4|72&4
392&3|451&1|175&4|168&3|226&2|72&3|179&5|234&3|186&4|433&1|651&3|166&3;449&1|233&2|546&2|834&1;392&3|451&1|175&4|168&3|226&2|72&3|179&5|234&3|186&4|433&1|651&3|166&3|449&1|233&2|546&2|834&1
354&4|286&5|14&3|657&4|316&4|639&2|347&4|302&4|175&3|22&2|735&4|170&3;494&5|154&3|211&5|611&3;354&4|286&5|14&3|657&4|316&4|639&2|347&4|302&4|175&3|22&2|735&4|170&3|494&5|154&3|211&5|611&3
181&4|174&4|462&4|1039&3|144&2|657&4|47&3|124&4|496&3|191&4|484&4|194&3;64&4|32&2|964&4|357&4;181&4|174&4|462&4|1039&3|144&2|657&4|47&3|124&4|496&3|191&4|484&4|194&3|64&4|32&2|964&4|357&4
293&3|288&3|14&5|276&5|307&3|273&2|242&5|285&5|125&3|7&4|147&4|895&3;121&2|1328&4|93&4|257&4;293&3|288&3|14&5|276&5|307&3|273&2|242&5|285&5|125&3|7&4|147&4|895&3|121&2|1328&4|93&4|257&4
298&4|258&4|826&1|274&3|282&4|475&5|346&4|948&3|742&2|15&4|324&3|290&4;369&3|986&2|926&1|546&4;298&4|258&4|826&1|274&3|282&4|475&5|346&4|948&3|742&2|15&4|324&3|290&4|369&3|986&2|926&1|546&4
31&2|433&1|652&5|174&4|617&4|48&4|205&3|273&5|1018&3|380&2|436&4|172&2;117&3|13&3|1294&1|428&4;31&2|433&1|652&5|174&4|617&4|48&4|205&3|273&5|1018&3|380&2|436&4|172&2|117&3|13&3|1294&1|428&4
172&3|873&4|258&5|776&5|278&4|204&4|162&3|25&2|365&5|631&3|195&4|183&2;739&4|723&2|1135&4|120&1;172&3|873&4|258&5|776&5|278&4|204&4|162&3|25&2|365&5|631&3|195&4|183&2|739&4|723&2|1135&4|120&1
302&5|346&3|293&5|283&3|100&5|285&5|313&5|676&5|748&1|591&4|544&1|150&2;508&4|408&5|248&4|125&2;302&5|346&3|293&5|283&3|100&5|285&5|313&5|676&5|748&1|591&4|544&1|150&2|508&4|408&5|248&4|125&2
328&4|1151&3|554&3|91&3|41&1|124&5|566&3|172&5|1188&2|956&3|1058&2|597&3;243&2|771&3|421&2|451&2;328&4|1151&3|554&3|91&3|41&1|124&5|566&3|172&5|1188&2|956&3|1058&2|597&3|243&2|771&3|421&2|451&2
411&3|819&4|258&4|1277&5|928&4|926&4|10&5|150&4|687&3|841&3|274&4|235&4;820&4|1095&3|287&4|833&4;411&3|819&4|258&4|1277&5|928&4|926&4|10&5|150&4|687&3|841&3|274&4|235&4|820&4|1095&3|287&4|833&4
134&2|340&5|294&2|98&5|200&4|210&3|178&5|64&5|216&4|176&4|427&5|22&5;97&4|593&2|742&3|272&5;134&2|340&5|294&2|98&5|200&4|210&3|178&5|64&5|216&4|176&4|427&5|22&5|97&4|593&2|742&3|272&5
307&4|284&4|333&5|1017&2|405&4|245&4|315&5|275&3|25&3|117&4|886&4|300&3;628&5|282&4|246&4|762&4;307&4|284&4|333&5|1017&2|405&4|245&4|315&5|275&3|25&3|117&4|886&4|300&3|628&5|282&4|246&4|762&4
300&3|1&4|405&3|948&1|125&3|124&4|117&3|547&4|7&5|93&5|288&3|271&4;760&3|831&2|411&1|841&2;300&3|1&4|405&3|948&1|125&3|124&4|117&3|547&4|7&5|93&5|288&3|271&4|760&3|831&2|411&1|841&2
538&3|332&3|292&3|315&4|900&4|269&2|893&1|304&4|271&4|326&2|1430&3|342&3;344&2|690&2|748&2|905&2;538&3|332&3|292&3|315&4|900&4|269&2|893&1|304&4|271&4|326&2|1430&3|342&3|344&2|690&2|748&2|905&2
233&4|332&4|11&2|273&4|825&2|245&4|566&4|181&4|117&5|328&1|827&3|161&4;53&2|665&5|720&4|363&2;233&4|332&4|11&2|273&4|825&2|245&4|566&4|181&4|117&5|328&1|827&3|161&4|53&2|665&5|720&4|363&2
242&5|259&1|687&1|323&3|324&1|408&5|243&1|751&3|269&5|268&5|313&4|813&3;14&4|473&4|1354&1|1326&3;242&5|259&1|687&1|323&3|324&1|408&5|243&1|751&3|269&5|268&5|313&4|813&3|14&4|473&4|1354&1|1326&3
603&4|238&5|421&5|116&5|215&2|216&4|170&4|642&3|449&2|195&4|652&4|73&3;530&4|219&1|739&2|177&4;603&4|238&5|421&5|116&5|215&2|216&4|170&4|642&3|449&2|195&4|652&4|73&3|530&4|219&1|739&2|177&4
1&4|100&3|257&3|742&3|321&1|255&3|281&3|181&3|237&3|117&5|258&4|260&2;846&2|508&3|532&3|1009&3;1&4|100&3|257&3|742&3|321&1|255&3|281&3|181&3|237&3|117&5|258&4|260&2|846&2|508&3|532&3|1009&3
751&4|501&4|661&4|56&5|199&5|15&2|281&2|157&4|274&4|654&3|241&3|473&5;500&5|97&4|162&3|1021&5;751&4|501&4|661&4|56&5|199&5|15&2|281&2|157&4|274&4|654&3|241&3|473&5|500&5|97&4|162&3|1021&5
135&5|458&5|79&4|69&5|28&5|581&4|97&4|274&3|371&2|8&5|466&4|82&5;559&3|203&5|631&4|265&2;135&5|458&5|79&4|69&5|28&5|581&4|97&4|274&3|371&2|8&5|466&4|82&5|559&3|203&5|631&4|265&2
243&1|180&5|269&4|136&5|322&4|258&4|174&5|748&5|531&5|684&3|323&2|432&4;56&5|480&5|154&4|641&3;243&1|180&5|269&4|136&5|322&4|258&4|174&5|748&5|531&5|684&3|323&2|432&4|56&5|480&5|154&4|641&3
300&2|327&2|269&4|1434&3|690&1|750&3|315&4|286&3|1176&3|1431&3|310&4|882&3;347&4|307&3|344&5|898&3;300&2|327&2|269&4|1434&3|690&1|750&3|315&4|286&3|1176&3|1431&3|310&4|882&3|347&4|307&3|344&5|898&3
655&3|749&2|492&3|100&4|499&3|25&2|69&2|509&4|302&4|523&3|222&2|654&3;448&3|404&3|581&3|723&2;655&3|749&2|492&3|100&4|499&3|25&2|69&2|509&4|302&4|523&3|222&2|654&3|448&3|404&3|581&3|723&2
696&3|319&1|357&5|148&2|647&4|79&4|537&4|815&2|896&4|12&5|124&5|511&4;301&4|764&1|1283&2|244&3;696&3|319&1|357&5|148&2|647&4|79&4|537&4|815&2|896&4|12&5|124&5|511&4|301&4|764&1|1283&2|244&3
690&2|299&2|245&4|301&3|294&1|328&3|688&2|326&2|321&4|307&3|270&4|338&2;269&4|754&3|303&2|286&3;690&2|299&2|245&4|301&3|294&1|328&3|688&2|326&2|321&4|307&3|270&4|338&2|269&4|754&3|303&2|286&3
63&5|1605&5|465&4|181&4|1&5|118&3|378&5|419&5|932&4|409&3|988&4|259&2;216&4|180&2|476&5|234&4;63&5|1605&5|465&4|181&4|1&5|118&3|378&5|419&5|932&4|409&3|988&4|259&2|216&4|180&2|476&5|234&4
64&5|778&4|87&5|427&5|197&5|423&5|476&3|676&5|239&5|806&4|69&3|294&4;63&2|98&4|531&4|238&3;64&5|778&4|87&5|427&5|197&5|423&5|476&3|676&5|239&5|806&4|69&3|294&4|63&2|98&4|531&4|238&3
347&3|300&4|751&3|898&4|895&2|750&5|292&4|323&4|243&2|308&4|269&3|343&2;312&5|350&4|22&5|538&4;347&3|300&4|751&3|898&4|895&2|750&5|292&4|323&4|243&2|308&4|269&3|343&2|312&5|350&4|22&5|538&4
288&5|595&2|246&4|24&3|186&5|411&5|176&3|203&5|1291&1|435&5|25&2|15&2;158&3|239&5|70&2|233&5;288&5|595&2|246&4|24&3|186&5|411&5|176&3|203&5|1291&1|435&5|25&2|15&2|158&3|239&5|70&2|233&5
1016&4|175&4|71&5|423&2|69&5|209&5|150&5|192&3|274&5|262&3|959&2|238&3;25&4|528&5|435&5|91&3;1016&4|175&4|71&5|423&2|69&5|209&5|150&5|192&3|274&5|262&3|959&2|238&3|25&4|528&5|435&5|91&3
1021&3|179&3|60&3|510&4|638&4|171&3|512&4|475&4|919&3|59&3|86&2|283&3;582&3|531&3|198&4|509&3;1021&3|179&3|60&3|510&4|638&4|171&3|512&4|475&4|919&3|59&3|86&2|283&3|582&3|531&3|198&4|509&3
25&3|515&5|250&3|742&5|15&5|1133&4|449&4|371&4|229&3|471&5|235&3|450&2;636&4|135&5|831&1|67&4;25&3|515&5|250&3|742&5|15&5|1133&4|449&4|371&4|229&3|471&5|235&3|450&2|636&4|135&5|831&1|67&4
466&4|129&4|38&3|111&4|180&4|582&3|96&4|663&4|237&4|518&3|664&4|1014&4;397&3|651&3|936&4|778&4;466&4|129&4|38&3|111&4|180&4|582&3|96&4|663&4|237&4|518&3|664&4|1014&4|397&3|651&3|936&4|778&4
286&5|302&4|292&5|269&4|904&5|690&4|305&4|319&4|304&5|313&4|750&5|751&2;339&5|345&4|270&3|301&5;286&5|302&4|292&5|269&4|904&5|690&4|305&4|319&4|304&5|313&4|750&5|751&2|339&5|345&4|270&3|301&5
1234&1|691&3|340&4|916&5|315&5|902&1|353&1|316&5|914&5|300&4|347&3|917&3;346&3|893&2|271&1|895&5;1234&1|691&3|340&4|916&5|315&5|902&1|353&1|316&5|914&5|300&4|347&3|917&3|346&3|893&2|271&1|895&5
88&1|673&2|300&2|357&2|380&2|423&1|183&4|179&5|567&1|94&2|175&3|451&1;1016&3|758&1|920&2|1079&1;88&1|673&2|300&2|357&2|380&2|423&1|183&4|179&5|567&1|94&2|175&3|451&1|1016&3|758&1|920&2|1079&1
546&4|218&2|751&3|13&1|1165&1|275&5|15&3|100&1|98&5|204&4|756&4|249&5;196&5|821&3|381&3|144&5;546&4|218&2|751&3|13&1|1165&1|275&5|15&3|100&1|98&5|204&4|756&4|249&5|196&5|821&3|381&3|144&5
427&4|197&4|216&5|237&4|218&3|514&3|1&5|433&5|436&4|50&5|756&3|194&5;425&4|195&5|166&5|568&4;427&4|197&4|216&5|237&4|218&3|514&3|1&5|433&5|436&4|50&5|756&3|194&5|425&4|195&5|166&5|568&4
136&4|508&4|752&3|588&4|514&5|276&4|176&4|222&2|118&2|278&3|510&5|185&3;702&4|792&4|72&3|517&4;136&4|508&4|752&3|588&4|514&5|276&4|176&4|222&2|118&2|278&3|510&5|185&3|702&4|792&4|72&3|517&4
472&3|583&4|234&4|546&4|193&4|192&4|573&4|513&4|194&4|118&4|549&4|184&1;570&4|661&3|418&1|615&2;472&3|583&4|234&4|546&4|193&4|192&4|573&4|513&4|194&4|118&4|549&4|184&1|570&4|661&3|418&1|615&2
15&5|846&5|648&5|401&1|721&2|696&4|280&5|553&5|371&5|383&1|94&2|716&5;143&5|905&3|238&5|843&2;15&5|846&5|648&5|401&1|721&2|696&4|280&5|553&5|371&5|383&1|94&2|716&5|143&5|905&3|238&5|843&2
52&3|30&4|736&4|275&4|357&4|116&3|527&3|485&4|191&3|704&3|20&3|286&4;89&3|521&2|153&4|709&4;52&3|30&4|736&4|275&4|357&4|116&3|527&3|485&4|191&3|704&3|20&3|286&4|89&3|521&2|153&4|709&4
331&3|308&1|288&4|271&5|332&4|682&3|304&5|748&5|333&3|310&4|300&4|538&4;322&4|259&3|323&3|938&2;331&3|308&1|288&4|271&5|332&4|682&3|304&5|748&5|333&3|310&4|300&4|538&4|322&4|259&3|323&3|938&2
237&5|220&4|255&4|300&4|286&2|15&4|245&5|281&4|9&4|1&4|100&4|845&4;476&5|1028&2|118&4|21&2;237&5|220&4|255&4|300&4|286&2|15&4|245&5|281&4|9&4|1&4|100&4|845&4|476&5|1028&2|118&4|21&2
7&2|25&4|762&3|405&3|50&3|472&1|137&3|9&4|24&4|1008&3|619&4|628&4;286&5|1&4|237&4|15&4;7&2|25&4|762&3|405&3|50&3|472&1|137&3|9&4|24&4|1008&3|619&4|628&4|286&5|1&4|237&4|15&4
185&5|208&3|588&3|503&3|515&5|675&4|496&5|144&5|134&3|507&2|609&3|433&2;53&1|367&3|944&2|200&2;185&5|208&3|588&3|503&3|515&5|675&4|496&5|144&5|134&3|507&2|609&3|433&2|53&1|367&3|944&2|200&2
195&4|144&3|205&4|182&4|479&4|174&3|50&4|204&4|521&5|271&2|423&4|1&3;134&4|435&3|433&2|188&4;195&4|144&3|205&4|182&4|479&4|174&3|50&4|204&4|521&5|271&2|423&4|1&3|134&4|435&3|433&2|188&4
288&3|292&5|876&3|881&3|294&3|299&3|300&5|323&3|333&4|245&5|326&5|258&3;348&3|749&5|304&4|678&4;288&3|292&5|876&3|881&3|294&3|299&3|300&5|323&3|333&4|245&5|326&5|258&3|348&3|749&5|304&4|678&4
49&1|168&1|698&1|775&1|191&4|70&3|428&1|759&1|226&2|644&3|574&1|731&3;1576&1|1556&1|1589&1|1592&1;49&1|168&1|698&1|775&1|191&4|70&3|428&1|759&1|226&2|644&3|574&1|731&3|1576&1|1556&1|1589&1|1592&1
310&1|754&1|294&2|260&2|307&2|690&3|302&5|343&3|245&2|300&3|338&3|268&2;266&1|705&4|50&5|892&1;310&1|754&1|294&2|260&2|307&2|690&3|302&5|343&3|245&2|300&3|338&3|268&2|266&1|705&4|50&5|892&1
4&3|879&4|79&5|230&4|176&5|346&3|751&3|431&3|2&3|226&4|188&3|385&2;1222&3|92&1|449&5|530&3;4&3|879&4|79&5|230&4|176&5|346&3|751&3|431&3|2&3|226&4|188&3|385&2|1222&3|92&1|449&5|530&3
269&4|689&4|301&3|313&5|339&3|873&3|303&4|289&4|245&3|323&4|300&4|329&3;343&4|322&4|355&4|937&4;269&4|689&4|301&3|313&5|339&3|873&3|303&4|289&4|245&3|323&4|300&4|329&3|343&4|322&4|355&4|937&4
173&4|372&3|215&4|558&3|204&4|483&5|1007&4|111&3|315&3|708&4|480&4|778&3;917&2|88&4|1101&1|62&4;173&4|372&3|215&4|558&3|204&4|483&5|1007&4|111&3|315&3|708&4|480&4|778&3|917&2|88&4|1101&1|62&4
659&5|172&5|58&4|288&3|492&4|607&4|480&5|9&5|222&4|317&4|461&5|66&4;463&5|99&4|230&3|495&4;659&5|172&5|58&4|288&3|492&4|607&4|480&5|9&5|222&4|317&4|461&5|66&4|463&5|99&4|230&3|495&4
516&4|692&4|792&2|751&3|482&5|70&3|315&4|310&3|300&5|174&4|474&3|436&4;66&4|420&4|549&2|610&1;516&4|692&4|792&2|751&3|482&5|70&3|315&4|310&3|300&5|174&4|474&3|436&4|66&4|420&4|549&2|610&1
550&5|210&4|187&2|679&3|636&3|29&2|144&5|554&3|121&4|4&4|82&2|98&3;234&4|202&3|514&2|430&5;550&5|210&4|187&2|679&3|636&3|29&2|144&5|554&3|121&4|4&4|82&2|98&3|234&4|202&3|514&2|430&5
